name,bbox
tile_000482,"2496150,1144800,2496650,1145300"
tile_000483,"2496150,1145250,2496650,1145750"
tile_000484,"2496150,1146600,2496650,1147100"
tile_000485,"2496150,1147050,2496650,1147550"
tile_000486,"2496150,1147500,2496650,1148000"
tile_000487,"2496150,1147950,2496650,1148450"
tile_000488,"2496600,1111050,2497100,1111550"
tile_000489,"2496600,1111500,2497100,1112000"
tile_000490,"2496600,1111950,2497100,1112450"
tile_000491,"2496600,1112400,2497100,1112900"
tile_000492,"2496600,1112850,2497100,1113350"
tile_000493,"2496600,1113300,2497100,1113800"
tile_000494,"2496600,1113750,2497100,1114250"
tile_000495,"2496600,1114200,2497100,1114700"
tile_000496,"2496600,1114650,2497100,1115150"
tile_000497,"2496600,1115100,2497100,1115600"
tile_000498,"2496600,1115550,2497100,1116050"
tile_000499,"2496600,1116000,2497100,1116500"
tile_000500,"2496600,1116450,2497100,1116950"
tile_000501,"2496600,1116900,2497100,1117400"
tile_000502,"2496600,1117350,2497100,1117850"
tile_000503,"2496600,1117800,2497100,1118300"
tile_000504,"2496600,1118250,2497100,1118750"
tile_000505,"2496600,1118700,2497100,1119200"
tile_000506,"2496600,1119150,2497100,1119650"
tile_000507,"2496600,1119600,2497100,1120100"
tile_000508,"2496600,1120050,2497100,1120550"
tile_000509,"2496600,1120500,2497100,1121000"
tile_000510,"2496600,1120950,2497100,1121450"
tile_000511,"2496600,1121400,2497100,1121900"
tile_000512,"2496600,1142100,2497100,1142600"
tile_000513,"2496600,1142550,2497100,1143050"
tile_000514,"2496600,1143000,2497100,1143500"
tile_000515,"2496600,1143450,2497100,1143950"
tile_000516,"2496600,1143900,2497100,1144400"
tile_000517,"2496600,1144350,2497100,1144850"
tile_000518,"2496600,1145700,2497100,1146200"
tile_000519,"2496600,1146600,2497100,1147100"
tile_000520,"2496600,1147950,2497100,1148450"
tile_000521,"2496600,1148400,2497100,1148900"
tile_000522,"2497050,1110600,2497550,1111100"
tile_000523,"2497050,1111050,2497550,1111550"
tile_000524,"2497050,1111500,2497550,1112000"
tile_000525,"2497050,1111950,2497550,1112450"
tile_000526,"2497050,1112400,2497550,1112900"
tile_000527,"2497050,1112850,2497550,1113350"
tile_000528,"2497050,1113300,2497550,1113800"
tile_000529,"2497050,1113750,2497550,1114250"
tile_000530,"2497050,1114200,2497550,1114700"
tile_000531,"2497050,1114650,2497550,1115150"
tile_000532,"2497050,1115100,2497550,1115600"
tile_000533,"2497050,1115550,2497550,1116050"
tile_000534,"2497050,1116000,2497550,1116500"
tile_000535,"2497050,1116450,2497550,1116950"
tile_000536,"2497050,1116900,2497550,1117400"
tile_000537,"2497050,1117350,2497550,1117850"
tile_000538,"2497050,1117800,2497550,1118300"
tile_000539,"2497050,1118250,2497550,1118750"
tile_000540,"2497050,1118700,2497550,1119200"
tile_000541,"2497050,1119150,2497550,1119650"
tile_000542,"2497050,1119600,2497550,1120100"
tile_000543,"2497050,1120050,2497550,1120550"
tile_000544,"2497050,1120500,2497550,1121000"
tile_000545,"2497050,1120950,2497550,1121450"
tile_000546,"2497050,1121400,2497550,1121900"
